,ibns_20u,vgs_m1,name,type,time,OK
0,20.442230000000002,0.6861311,tran_LayGtKttmmTtVt_29,Lay,Mon Mar 24 15:21:10 2025,True
1,20.78286,0.6873636,tran_LayGtKttmmTtVt_28,Lay,Mon Mar 24 15:21:08 2025,True
2,20.12285,0.6823231,tran_LayGtKttmmTtVt_27,Lay,Mon Mar 24 15:21:07 2025,True
3,19.39761,0.6833727,tran_LayGtKttmmTtVt_26,Lay,Mon Mar 24 15:21:06 2025,True
4,19.721980000000002,0.6821175,tran_LayGtKttmmTtVt_25,Lay,Mon Mar 24 15:21:04 2025,True
5,20.32819,0.6862321,tran_LayGtKttmmTtVt_24,Lay,Mon Mar 24 15:21:03 2025,True
6,20.29385,0.6850923,tran_LayGtKttmmTtVt_23,Lay,Mon Mar 24 15:21:02 2025,True
7,18.179070000000003,0.6798492,tran_LayGtKttmmTtVt_22,Lay,Mon Mar 24 15:21:01 2025,True
8,21.387809999999998,0.6885335,tran_LayGtKttmmTtVt_21,Lay,Mon Mar 24 15:20:59 2025,True
9,19.09104,0.6830758,tran_LayGtKttmmTtVt_20,Lay,Mon Mar 24 15:20:58 2025,True
10,20.89402,0.6857601,tran_LayGtKttmmTtVt_19,Lay,Mon Mar 24 15:20:57 2025,True
11,20.20958,0.6845292,tran_LayGtKttmmTtVt_18,Lay,Mon Mar 24 15:20:55 2025,True
12,20.07308,0.684951,tran_LayGtKttmmTtVt_17,Lay,Mon Mar 24 15:20:54 2025,True
13,20.46009,0.6853707,tran_LayGtKttmmTtVt_16,Lay,Mon Mar 24 15:20:52 2025,True
14,20.34666,0.68497,tran_LayGtKttmmTtVt_15,Lay,Mon Mar 24 15:20:51 2025,True
15,20.537229999999997,0.6877131,tran_LayGtKttmmTtVt_14,Lay,Mon Mar 24 15:20:50 2025,True
16,19.96923,0.6846424,tran_LayGtKttmmTtVt_13,Lay,Mon Mar 24 15:20:49 2025,True
17,20.40747,0.6855941,tran_LayGtKttmmTtVt_12,Lay,Mon Mar 24 15:20:47 2025,True
18,20.5696,0.6858772,tran_LayGtKttmmTtVt_11,Lay,Mon Mar 24 15:20:46 2025,True
19,20.923759999999998,0.6867263,tran_LayGtKttmmTtVt_10,Lay,Mon Mar 24 15:20:45 2025,True
20,21.5867,0.6878195,tran_LayGtKttmmTtVt_9,Lay,Mon Mar 24 15:20:43 2025,True
21,20.73257,0.6856014,tran_LayGtKttmmTtVt_8,Lay,Mon Mar 24 15:20:42 2025,True
22,20.46605,0.68783,tran_LayGtKttmmTtVt_7,Lay,Mon Mar 24 15:20:40 2025,True
23,20.75302,0.6882017,tran_LayGtKttmmTtVt_6,Lay,Mon Mar 24 15:20:39 2025,True
24,20.24419,0.6867906,tran_LayGtKttmmTtVt_5,Lay,Mon Mar 24 15:20:37 2025,True
25,19.01698,0.6817382,tran_LayGtKttmmTtVt_4,Lay,Mon Mar 24 15:20:36 2025,True
26,20.584059999999997,0.6865355,tran_LayGtKttmmTtVt_3,Lay,Mon Mar 24 15:20:35 2025,True
27,22.076340000000002,0.6901338,tran_LayGtKttmmTtVt_2,Lay,Mon Mar 24 15:20:33 2025,True
28,22.14359,0.6895615,tran_LayGtKttmmTtVt_1,Lay,Mon Mar 24 15:20:31 2025,True
29,21.033079999999998,0.6879339,tran_LayGtKttmmTtVt,Lay,Mon Mar 24 15:20:30 2025,True
