,ibns_20u,vgs_m1,name,type,time,OK
0,21.155060000000002,0.6869764,tran_SchGtKttmmTtVt_29,Sch,Fri Jan 17 15:13:46 2025,True
1,20.60583,0.6880889,tran_SchGtKttmmTtVt_28,Sch,Fri Jan 17 15:13:46 2025,True
2,21.0654,0.6859498,tran_SchGtKttmmTtVt_27,Sch,Fri Jan 17 15:13:46 2025,True
3,19.94417,0.685774,tran_SchGtKttmmTtVt_26,Sch,Fri Jan 17 15:13:45 2025,True
4,22.645780000000002,0.6907588,tran_SchGtKttmmTtVt_25,Sch,Fri Jan 17 15:13:45 2025,True
5,17.24153,0.6772515,tran_SchGtKttmmTtVt_24,Sch,Fri Jan 17 15:13:45 2025,True
6,21.321489999999997,0.6875451,tran_SchGtKttmmTtVt_23,Sch,Fri Jan 17 15:13:45 2025,True
7,19.27266,0.6820916,tran_SchGtKttmmTtVt_22,Sch,Fri Jan 17 15:13:45 2025,True
8,21.525199999999998,0.6883919,tran_SchGtKttmmTtVt_21,Sch,Fri Jan 17 15:13:45 2025,True
9,20.71064,0.6852579,tran_SchGtKttmmTtVt_20,Sch,Fri Jan 17 15:13:45 2025,True
10,20.09483,0.6854182,tran_SchGtKttmmTtVt_19,Sch,Fri Jan 17 15:13:44 2025,True
11,18.896659999999997,0.679039,tran_SchGtKttmmTtVt_18,Sch,Fri Jan 17 15:13:44 2025,True
12,18.94987,0.682748,tran_SchGtKttmmTtVt_17,Sch,Fri Jan 17 15:13:44 2025,True
13,21.4515,0.6878923,tran_SchGtKttmmTtVt_16,Sch,Fri Jan 17 15:13:44 2025,True
14,22.01163,0.6898144,tran_SchGtKttmmTtVt_15,Sch,Fri Jan 17 15:13:44 2025,True
15,19.27242,0.6807399,tran_SchGtKttmmTtVt_14,Sch,Fri Jan 17 15:13:44 2025,True
16,20.9207,0.6891399,tran_SchGtKttmmTtVt_13,Sch,Fri Jan 17 15:13:43 2025,True
17,21.75351,0.6907002,tran_SchGtKttmmTtVt_12,Sch,Fri Jan 17 15:13:43 2025,True
18,20.758680000000002,0.6853977,tran_SchGtKttmmTtVt_11,Sch,Fri Jan 17 15:13:43 2025,True
19,19.908170000000002,0.6839071,tran_SchGtKttmmTtVt_10,Sch,Fri Jan 17 15:13:43 2025,True
20,20.26284,0.6884179,tran_SchGtKttmmTtVt_9,Sch,Fri Jan 17 15:13:43 2025,True
21,18.89984,0.6800986,tran_SchGtKttmmTtVt_8,Sch,Fri Jan 17 15:13:43 2025,True
22,19.97411,0.6829164,tran_SchGtKttmmTtVt_7,Sch,Fri Jan 17 15:13:43 2025,True
23,21.06815,0.6865449,tran_SchGtKttmmTtVt_6,Sch,Fri Jan 17 15:13:43 2025,True
24,21.93343,0.6890698,tran_SchGtKttmmTtVt_5,Sch,Fri Jan 17 15:13:42 2025,True
25,20.53071,0.6842997,tran_SchGtKttmmTtVt_4,Sch,Fri Jan 17 15:13:42 2025,True
26,21.12518,0.6867124,tran_SchGtKttmmTtVt_3,Sch,Fri Jan 17 15:13:42 2025,True
27,22.387159999999998,0.6907095,tran_SchGtKttmmTtVt_2,Sch,Fri Jan 17 15:13:42 2025,True
28,20.65828,0.6860181,tran_SchGtKttmmTtVt_1,Sch,Fri Jan 17 15:13:42 2025,True
29,20.90019,0.6863514,tran_SchGtKttmmTtVt,Sch,Fri Jan 17 15:13:42 2025,True
